"YEAR_MONTH","SFDC_ACCOUNT_ID","SWIMLANE_MAP","AGE_IN_MONTHS","SUBSCRIBED_ROUTER_COUNT","TERM_MAP","CHURNED_ACCOUNT_FLAG","LOGIN_COUNT","TOTAL_MINUTES","Account_NCM_Permissions","Account_Subscription_Change_License","Account_Subscriptions","Dashboard_Clients_Tab","Devices_Remote_Connect_Connect_to_Device_UI","Devices_Subnav_Network_Interfaces","Devices_Interfaces_Interface_Details","Devices_Toggle_Image","Footer_Contact_Cradlepoint_Link","Footer_Knowledge_Base_Link","Groups_Add","Groups_Commands_Menu","Groups_Configuration_Edit","Groups_Dashboard","Groups_Firmware_Menu","Groups_Group_Data_Usage","Groups_Settings","Groups_Refresh_Button","Notifications","Help_Panel_Button","NetCloud_Perimeter","Network_Interfaces_Commands_Menu","Network_Interfaces_Export_Menu","Network_Interfaces_Filter_All","Reports_Report_Type_Data_Usage","Reports_Report_Type_Signal_Quality","Reports_Run_Report_Button","Routers_Commands_Ping","Routers_Commands_Reboot","Routers_Commands_Restore_to_Defaults","Routers_Commands_Speed_Test","Routers_Commands_Unregister","Routers_Commands_Menu","Routers_Configuration_Edit","Routers_Configuration_Resume_Updates","Routers_Configuration_Summary","Routers_Configuration_Menu","Routers_Device_Dashboard_Link","Routers_Firmware_Retry_Upgrade","Routers_Move","Routers_NetCloud_OS_Menu","Routers_Remote_Connect_Console","Routers_Remote_Connect_Menu","Scheduler_Subnav_Schedules","Scheduler_Tasks_Add","Scheduler_Tasks_Edit","Churn_Probability"
2021-05-01,"0013800001AQGwDAAX","111100",679,1221,"110",0,2093,11967,10,0,1,0,24,119,134,50,0,0,5,2,18,15,4,0,3,0,28,6,13,190,3,8,0,0,0,108,7,2,76,0,217,232,48,11,1005,1576,4,50,26,284,640,0,1,0,-8.58796540825768e-18
2021-05-01,"0013800001GN6pPAAT","100000",62,577,"100",0,37,330,2,10,14,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,4,0,0,10,1,0,0,1,0,4,0,0,0,-7.41594285980085e-18
2021-05-01,"0015000000ruQHfAAM","100100",669,1429,"111",0,87,826,0,0,0,0,26,2,0,0,0,0,2,1,0,0,0,0,4,0,0,1,3,1,0,0,0,0,0,0,5,0,2,0,9,5,8,1,19,101,0,113,3,6,37,0,0,0,-9.872744982653e-18
2020-07-01,"0013800001Lm6NdAAJ","111000",603,1549,"110",0,942,5079,4,0,3,1,229,42,9,4,1,0,13,1,29,8,3,0,0,260,5,0,3,0,33,1,2,3,3,2,169,2,81,3,295,45,43,6,193,551,0,150,8,0,289,0,0,0,-7.64904632688523e-18
2020-07-01,"0013800001Nrpt2AAB","111000",717,2173,"110",0,2248,19149,10,30,14,1,120,24,4,24,0,0,0,0,10,5,2,1,0,0,16,2,18,2,0,0,1,6,0,43,78,1,2477,3,2847,388,8,6,865,1448,0,52,30,6,719,1,1,0,-6.90962044525012e-18
2020-09-01,"0015000000VXYgvAAH","101000",694,2277,"111",0,106,4196,10,0,0,0,0,24,0,8,0,0,1,0,14,3,4,0,0,0,8,2,7,0,0,0,0,0,0,14,98,38,80,42,375,164,8,9,382,300,0,64,26,103,133,0,0,0,-9.26776017040609e-18
2020-09-01,"0015000000pHxQdAAK","101100",661,1884,"111",0,414,3292,1,1,1,1,21,3,20,7,0,0,3,0,24,4,0,0,2,1,4,0,4,1,0,0,0,0,0,4,47,18,0,2,71,288,83,1,543,473,1,104,3,1,31,0,0,0,-9.04766712939153e-18
2020-07-01,"0015000000UxtaTAAR","001100",697,14,"000",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.68086637558829e-18
2020-07-01,"0015000000oK2ekAAC","110000",655,3453,"111",0,416,1045,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,1,0,1,62,0,5,2,79,6,7,3,17,50,0,20,5,2,12,0,0,0,-9.86407136527312e-18
2020-10-01,"0013800001BdhHCAAZ","110000",633,1893,"110",0,66,400,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,8,0,4,0,0,0,0,0,0,1,11,0,30,1,51,3,4,0,16,19,0,1,6,0,0,0,0,0,-9.26559176606112e-18
2020-09-01,"0013800001U62buAAB","101100",45,2678,"110",0,46,504,2,0,0,1,19,1,0,0,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,1,0,40,2,37,6,109,7,4,0,34,1,21,0,0,0,-8.88937361220865e-18
